#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.828	0	0	0.523	0.914
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.607	0	0	0.657	0.860
ANLN	KIF23	9606.ENSP00000265748	9606.ENSP00000260363	0	0	0	0	0.740	0.331	0	0.946	0.989
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.879	0	0	0.582	0.947
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.735	0.292	0	0.220	0.841
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.502	0	0.400	0.200	0.740
ANLN	CENPE	9606.ENSP00000265748	9606.ENSP00000265148	0	0	0	0	0.594	0	0	0.437	0.762
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.472	0	0	0.456	0.701
ANLN	PLK1	9606.ENSP00000265748	9606.ENSP00000300093	0	0	0	0	0.392	0	0	0.531	0.703
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.546	0	0	0.374	0.704
ANLN	KPNA2	9606.ENSP00000265748	9606.ENSP00000438483	0	0	0	0	0.317	0.317	0	0.436	0.714
ANLN	TYMS	9606.ENSP00000265748	9606.ENSP00000315644	0	0	0	0	0.462	0	0	0.517	0.729
ANLN	SHCBP1	9606.ENSP00000265748	9606.ENSP00000306473	0	0	0	0	0.474	0.292	0	0.367	0.743
ANLN	MKI67	9606.ENSP00000265748	9606.ENSP00000357643	0	0	0	0	0.456	0.292	0	0.392	0.745
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000481380	0	0	0	0	0.614	0	0	0.370	0.747
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.487	0	0	0.541	0.754
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.476	0	0	0.584	0.773
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.399	0.292	0	0.527	0.781
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.565	0	0	0.520	0.782
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.420	0	0	0.645	0.785
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.484	0.292	0	0.463	0.787
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.479	0.292	0	0.475	0.789
ANLN	IQGAP3	9606.ENSP00000265748	9606.ENSP00000354451	0	0	0	0	0.244	0.486	0.400	0.225	0.795
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.693	0	0	0.376	0.800
ANLN	SMC4	9606.ENSP00000265748	9606.ENSP00000341382	0	0	0	0	0.456	0.292	0	0.538	0.806
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.696	0.052	0	0.397	0.811
ANLN	CDK1	9606.ENSP00000265748	9606.ENSP00000378699	0	0	0	0	0.643	0	0	0.506	0.816
ANLN	KIF2C	9606.ENSP00000265748	9606.ENSP00000361298	0	0	0	0	0.532	0	0	0.633	0.821
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.550	0.292	0	0.503	0.828
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.587	0	0	0.608	0.831
ANLN	CKAP2L	9606.ENSP00000265748	9606.ENSP00000305204	0	0	0	0	0.759	0	0	0.355	0.837
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANLN	AURKB	9606.ENSP00000265748	9606.ENSP00000313950	0	0	0	0	0.450	0.292	0	0.636	0.846
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.774	0	0	0.353	0.847
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.613	0.292	0	0.533	0.861
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.764	0	0	0.513	0.880
ANLN	INCENP	9606.ENSP00000265748	9606.ENSP00000378295	0	0	0	0	0.699	0.292	0	0.506	0.885
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.809	0	0	0.482	0.897
ANLN	CIT	9606.ENSP00000265748	9606.ENSP00000376306	0	0	0	0	0.466	0.500	0.400	0.442	0.898
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
ANLN	BUB1	9606.ENSP00000265748	9606.ENSP00000302530	0	0	0	0	0.791	0	0	0.619	0.917
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.774	0	0	0.673	0.923
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.778	0.292	0	0.592	0.930
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.823	0.328	0	0.607	0.949
ANLN	DIAPH3	9606.ENSP00000265748	9606.ENSP00000383178	0	0	0	0	0.469	0	0.400	0.967	0.988
ANLN	ECT2	9606.ENSP00000265748	9606.ENSP00000376457	0	0	0	0	0.444	0.292	0	0.987	0.994
ANLN	RACGAP1	9606.ENSP00000265748	9606.ENSP00000404190	0	0	0	0	0.607	0.416	0	0.990	0.997
ANP32B	XPO1	9606.ENSP00000345848	9606.ENSP00000384863	0	0	0	0	0.112	0.292	0	0.759	0.835
ANP32E	H2AZ1	9606.ENSP00000463154	9606.ENSP00000296417	0	0	0	0	0.244	0.981	0	0.781	0.996
ANP32E	ISCU	9606.ENSP00000463154	9606.ENSP00000310623	0	0.733	0	0	0.044	0	0	0	0.734
ANP32E	RUVBL1	9606.ENSP00000463154	9606.ENSP00000318297	0	0	0	0	0.067	0.383	0.900	0.227	0.949
ARHGAP11A	DLGAP5	9606.ENSP00000355090	9606.ENSP00000247191	0	0	0	0	0.744	0	0	0.252	0.801
ARHGAP11A	KIF11	9606.ENSP00000355090	9606.ENSP00000260731	0	0	0	0	0.770	0	0	0.253	0.821
ARHGAP11A	CENPE	9606.ENSP00000355090	9606.ENSP00000265148	0	0	0	0	0.677	0.093	0	0.150	0.729
ARHGAP11A	BUB1B	9606.ENSP00000355090	9606.ENSP00000287598	0	0	0	0	0.761	0	0	0.184	0.796
ARHGAP11A	BUB1	9606.ENSP00000355090	9606.ENSP00000302530	0	0	0	0	0.712	0	0	0.222	0.766
ARHGAP11A	CDCA8	9606.ENSP00000355090	9606.ENSP00000362146	0	0	0	0	0.673	0	0	0.125	0.702
ARHGAP11A	CCNA2	9606.ENSP00000355090	9606.ENSP00000481380	0	0	0	0	0.682	0	0	0.140	0.715
ARHGAP11A	CEP55	9606.ENSP00000355090	9606.ENSP00000360540	0	0	0	0	0.666	0	0	0.217	0.727
ARHGAP11A	CDK1	9606.ENSP00000355090	9606.ENSP00000378699	0	0	0	0	0.697	0.069	0	0.170	0.745
ARHGAP11A	KIF14	9606.ENSP00000355090	9606.ENSP00000356319	0	0	0	0	0.504	0.292	0	0.348	0.751
ARHGAP11A	TOP2A	9606.ENSP00000355090	9606.ENSP00000411532	0	0	0	0	0.720	0	0	0.170	0.758
ARHGAP11A	TTK	9606.ENSP00000355090	9606.ENSP00000358813	0	0	0	0	0.717	0	0	0.226	0.771
ARHGAP11A	ASPM	9606.ENSP00000355090	9606.ENSP00000356379	0	0	0	0	0.743	0.095	0	0.246	0.809
ARHGAP11A	CENPF	9606.ENSP00000355090	9606.ENSP00000355922	0	0	0	0	0.756	0	0	0.254	0.811
ARHGAP11A	MKI67	9606.ENSP00000355090	9606.ENSP00000357643	0	0	0	0	0.761	0	0	0.247	0.812
ARRB1	CX3CR1	9606.ENSP00000409581	9606.ENSP00000351059	0	0	0	0	0.085	0.108	0.650	0.235	0.752
ARRB1	TFRC	9606.ENSP00000409581	9606.ENSP00000376197	0	0	0	0	0.076	0	0.500	0.581	0.789
ARRB1	RAPGEF3	9606.ENSP00000409581	9606.ENSP00000395708	0	0	0	0	0.047	0	0	0.942	0.942
ASF1B	MCM5	9606.ENSP00000263382	9606.ENSP00000216122	0	0	0	0	0.517	0	0	0.728	0.863
ASF1B	AURKA	9606.ENSP00000263382	9606.ENSP00000216911	0	0	0	0	0.510	0	0	0.513	0.751
ASF1B	DLGAP5	9606.ENSP00000263382	9606.ENSP00000247191	0	0	0	0	0.572	0	0	0.441	0.751
ASF1B	NASP	9606.ENSP00000263382	9606.ENSP00000255120	0	0	0	0	0.244	0.995	0	0.842	0.999
ASF1B	SRSF1	9606.ENSP00000263382	9606.ENSP00000258962	0	0	0	0	0.135	0	0	0.888	0.899
ASF1B	MCM4	9606.ENSP00000263382	9606.ENSP00000262105	0	0	0	0	0.422	0.622	0	0.654	0.918
ASF1B	BUB1B	9606.ENSP00000263382	9606.ENSP00000287598	0	0	0	0	0.556	0.071	0	0.332	0.700
ASF1B	AURKB	9606.ENSP00000263382	9606.ENSP00000313950	0	0	0	0	0.591	0	0	0.301	0.702
ASF1B	NOP56	9606.ENSP00000263382	9606.ENSP00000370589	0	0	0	0	0.702	0	0	0	0.702
ASF1B	TOP2A	9606.ENSP00000263382	9606.ENSP00000411532	0	0	0	0	0.476	0	0	0.467	0.709
ASF1B	KIF2C	9606.ENSP00000263382	9606.ENSP00000361298	0	0	0	0	0.641	0	0	0.226	0.710
ASF1B	EXO1	9606.ENSP00000263382	9606.ENSP00000355506	0	0	0	0	0.404	0.070	0	0.530	0.717
ASF1B	PLK1	9606.ENSP00000263382	9606.ENSP00000300093	0	0	0	0	0.468	0	0	0.504	0.725
ASF1B	CENPF	9606.ENSP00000263382	9606.ENSP00000355922	0	0	0	0	0.357	0	0	0.592	0.726
ASF1B	UBE2C	9606.ENSP00000263382	9606.ENSP00000348838	0	0	0	0	0.634	0.095	0	0.247	0.729
ASF1B	PBK	9606.ENSP00000263382	9606.ENSP00000428489	0	0	0	0	0.585	0.051	0	0.398	0.743
ASF1B	PIF1	9606.ENSP00000263382	9606.ENSP00000328174	0	0	0	0	0.584	0.256	0	0.274	0.755
ASF1B	MCM10	9606.ENSP00000263382	9606.ENSP00000418268	0	0	0	0	0.379	0	0	0.630	0.761
ASF1B	H2AZ1	9606.ENSP00000263382	9606.ENSP00000296417	0	0.167	0	0	0.251	0.404	0	0.461	0.772
ASF1B	PCLAF	9606.ENSP00000263382	9606.ENSP00000300035	0	0	0	0	0.425	0	0	0.621	0.772
ASF1B	CCNA2	9606.ENSP00000263382	9606.ENSP00000481380	0	0	0	0	0.605	0	0	0.473	0.783
ASF1B	FOXM1	9606.ENSP00000263382	9606.ENSP00000342307	0	0	0	0	0.538	0.045	0	0.585	0.801
ASF1B	CDC20	9606.ENSP00000263382	9606.ENSP00000361540	0	0	0	0	0.709	0.087	0	0.329	0.806
ASF1B	BIRC5	9606.ENSP00000263382	9606.ENSP00000301633	0	0	0	0	0.591	0	0	0.548	0.807
ASF1B	CDCA3	9606.ENSP00000263382	9606.ENSP00000442068	0	0	0	0	0.702	0	0	0.384	0.809
ASF1B	RRM2	9606.ENSP00000263382	9606.ENSP00000353770	0	0	0	0	0.496	0.291	0	0.515	0.811
ASF1B	CDCA8	9606.ENSP00000263382	9606.ENSP00000362146	0	0	0	0	0.711	0.071	0	0.415	0.829
ASF1B	CENPA	9606.ENSP00000263382	9606.ENSP00000336868	0	0	0	0	0.393	0.377	0	0.588	0.831
ASF1B	MCM3	9606.ENSP00000263382	9606.ENSP00000480987	0	0	0	0	0.534	0	0	0.653	0.832
ASF1B	KIF20A	9606.ENSP00000263382	9606.ENSP00000378356	0	0	0	0	0.607	0	0	0.611	0.840
ASF1B	CDC45	9606.ENSP00000263382	9606.ENSP00000405726	0	0	0	0	0.671	0	0	0.658	0.883
ASF1B	MCM7	9606.ENSP00000263382	9606.ENSP00000307288	0	0	0	0	0.393	0.433	0	0.734	0.900
ASF1B	CHEK2	9606.ENSP00000263382	9606.ENSP00000372023	0	0	0	0	0.126	0.752	0	0.618	0.910
ASF1B	MCM6	9606.ENSP00000263382	9606.ENSP00000264156	0	0	0	0	0.339	0.793	0	0.594	0.939
ASF1B	CHAF1A	9606.ENSP00000263382	9606.ENSP00000301280	0	0	0	0	0.353	0.848	0	0.615	0.958
ASF1B	CHAF1B	9606.ENSP00000263382	9606.ENSP00000315700	0	0	0	0	0.221	0.970	0	0.760	0.993
ASF1B	MCM2	9606.ENSP00000263382	9606.ENSP00000265056	0	0	0	0	0.476	0.983	0	0.620	0.996
ASPM	TRIP13	9606.ENSP00000356379	9606.ENSP00000166345	0	0	0	0	0.553	0	0	0.418	0.729
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.705	0.314	0	0.685	0.930
ASPM	OIP5	9606.ENSP00000356379	9606.ENSP00000220514	0	0	0	0	0.644	0	0	0.327	0.750
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.667	0.099	0	0.579	0.862
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.838	0	0	0.714	0.952
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.648	0	0	0.358	0.764
ASPM	ESPL1	9606.ENSP00000356379	9606.ENSP00000257934	0	0	0	0	0.759	0.087	0	0.401	0.857
ASPM	KIF23	9606.ENSP00000356379	9606.ENSP00000260363	0	0	0	0	0.967	0.300	0	0.500	0.987
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.962	0.079	0	0.714	0.989
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0.170	0.969
ASPM	KIF18A	9606.ENSP00000356379	9606.ENSP00000263181	0	0	0	0	0.791	0.061	0	0.367	0.865
ASPM	SGO1	9606.ENSP00000356379	9606.ENSP00000263753	0	0	0	0	0.634	0	0	0.305	0.734
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.954	0.078	0	0.589	0.981
ASPM	PLK4	9606.ENSP00000356379	9606.ENSP00000270861	0	0	0	0	0.651	0.099	0	0.452	0.812
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.944	0	0	0.665	0.980
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0.418	0.746
ASPM	SPC25	9606.ENSP00000356379	9606.ENSP00000282074	0	0	0	0	0.815	0	0	0.231	0.852
ASPM	SMC2	9606.ENSP00000356379	9606.ENSP00000286398	0	0	0	0	0.813	0.087	0	0.125	0.838
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	MAD2L1	9606.ENSP00000356379	9606.ENSP00000296509	0	0	0	0	0.602	0.088	0	0.524	0.812
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	PCLAF	9606.ENSP00000356379	9606.ENSP00000300035	0	0	0	0	0.756	0	0	0.641	0.909
ASPM	PLK1	9606.ENSP00000356379	9606.ENSP00000300093	0	0	0	0	0.455	0.091	0	0.451	0.704
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	BUB1	9606.ENSP00000356379	9606.ENSP00000302530	0	0	0	0	0.907	0.111	0	0.741	0.976
ASPM	CKAP2L	9606.ENSP00000356379	9606.ENSP00000305204	0	0	0	0	0.724	0	0	0.595	0.883
ASPM	AURKB	9606.ENSP00000356379	9606.ENSP00000313950	0	0	0	0	0.608	0	0	0.732	0.890
ASPM	TYMS	9606.ENSP00000356379	9606.ENSP00000315644	0	0	0	0	0.520	0	0	0.522	0.760
ASPM	E2F7	9606.ENSP00000356379	9606.ENSP00000323246	0	0	0	0	0.492	0	0	0.479	0.724
ASPM	SPAG5	9606.ENSP00000356379	9606.ENSP00000323300	0	0	0	0	0.855	0.043	0	0.640	0.945
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.895	0	0	0.743	0.971
ASPM	NCAPD2	9606.ENSP00000356379	9606.ENSP00000325017	0	0	0	0	0.477	0.095	0	0.436	0.710
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.777	0	0	0.295	0.836
ASPM	KNTC1	9606.ENSP00000356379	9606.ENSP00000328236	0	0	0	0	0.885	0.088	0	0.395	0.931
ASPM	CDKN3	9606.ENSP00000356379	9606.ENSP00000335357	0	0	0	0	0.784	0	0	0.351	0.854
ASPM	KNL1	9606.ENSP00000356379	9606.ENSP00000335463	0	0	0	0	0.524	0	0	0.507	0.755
ASPM	CENPA	9606.ENSP00000356379	9606.ENSP00000336868	0	0	0	0	0.800	0	0	0.352	0.865
ASPM	SMC4	9606.ENSP00000356379	9606.ENSP00000341382	0	0	0	0	0.612	0.099	0	0.498	0.809
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0.295	0.848
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	DTL	9606.ENSP00000356379	9606.ENSP00000355958	0	0	0	0	0.818	0	0	0.199	0.848
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0.507	0.916
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	CDC45	9606.ENSP00000356379	9606.ENSP00000405726	0	0	0	0	0.599	0	0	0.290	0.703
ASPM	MCM10	9606.ENSP00000356379	9606.ENSP00000418268	0	0	0	0	0.533	0	0	0.431	0.723
ASPM	KIF18B	9606.ENSP00000356379	9606.ENSP00000465992	0	0	0	0	0.641	0.061	0	0.271	0.733
ASPM	CKS2	9606.ENSP00000356379	9606.ENSP00000364976	0	0	0	0	0.506	0	0	0.506	0.745
ASPM	TK1	9606.ENSP00000356379	9606.ENSP00000468425	0	0	0	0	0.430	0	0	0.601	0.763
ASPM	DIAPH3	9606.ENSP00000356379	9606.ENSP00000383178	0	0	0	0	0.532	0	0	0.522	0.766
ASPM	RACGAP1	9606.ENSP00000356379	9606.ENSP00000404190	0	0	0	0	0.637	0	0	0.460	0.795
ASPM	ZWINT	9606.ENSP00000356379	9606.ENSP00000363055	0	0	0	0	0.527	0	0	0.632	0.818
ASPM	KIF20B	9606.ENSP00000356379	9606.ENSP00000360793	0	0	0	0	0.719	0.048	0	0.376	0.819
ASPM	UBE2T	9606.ENSP00000356379	9606.ENSP00000494957	0	0	0	0	0.780	0	0	0.246	0.827
ASPM	KIFC1	9606.ENSP00000356379	9606.ENSP00000393963	0	0	0	0	0.659	0.292	0	0.410	0.845
ASPM	DEPDC1	9606.ENSP00000356379	9606.ENSP00000412292	0	0	0	0	0.805	0	0	0.318	0.861
ASPM	CDCA3	9606.ENSP00000356379	9606.ENSP00000442068	0	0	0	0	0.773	0	0	0.425	0.864
ASPM	PTTG1	9606.ENSP00000356379	9606.ENSP00000377536	0	0	0	0	0.698	0	0	0.574	0.866
ASPM	CKAP2	9606.ENSP00000356379	9606.ENSP00000367276	0	0	0	0	0.796	0	0	0.383	0.869
ASPM	CIT	9606.ENSP00000356379	9606.ENSP00000376306	0	0	0	0	0.747	0	0	0.573	0.887
ASPM	ECT2	9606.ENSP00000356379	9606.ENSP00000376457	0	0	0	0	0.826	0.292	0	0.433	0.924
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0.640	0.928
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	KIF2C	9606.ENSP00000356379	9606.ENSP00000361298	0	0	0	0	0.851	0	0	0.589	0.936
ASPM	CENPJ	9606.ENSP00000356379	9606.ENSP00000371308	0	0	0	0	0.248	0	0	0.927	0.942
ASPM	CDK1	9606.ENSP00000356379	9606.ENSP00000378699	0	0	0	0	0.827	0	0	0.682	0.942
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000481380	0	0	0	0	0.865	0	0	0.603	0.944
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0.700	0.950
ASPM	CDCA8	9606.ENSP00000356379	9606.ENSP00000362146	0	0	0	0	0.908	0	0	0.480	0.950
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0.703	0.951
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASPM	MKI67	9606.ENSP00000356379	9606.ENSP00000357643	0	0	0	0	0.895	0.099	0	0.635	0.962
ASPM	WDR62	9606.ENSP00000356379	9606.ENSP00000384792	0	0	0	0	0.123	0.317	0	0.951	0.968
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.900	0.111	0	0.715	0.972
ASPM	STIL	9606.ENSP00000356379	9606.ENSP00000360944	0	0	0	0	0.477	0.164	0	0.942	0.972
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
ATAD2	CDC6	9606.ENSP00000287394	9606.ENSP00000209728	0	0	0	0	0.332	0.098	0	0.547	0.703
ATAD2	MCM4	9606.ENSP00000287394	9606.ENSP00000262105	0	0	0	0	0.778	0.094	0	0.361	0.860
ATAD2	WDR76	9606.ENSP00000287394	9606.ENSP00000263795	0	0	0	0	0.295	0.381	0	0.449	0.739
ATAD2	CENPE	9606.ENSP00000287394	9606.ENSP00000265148	0	0	0	0	0.465	0	0	0.515	0.729
ATAD2	CEP55	9606.ENSP00000287394	9606.ENSP00000360540	0	0	0	0	0.462	0	0	0.493	0.715
ATAD2	E2F1	9606.ENSP00000287394	9606.ENSP00000345571	0	0	0	0	0.181	0.292	0	0.608	0.752
ATAD2	TPX2	9606.ENSP00000287394	9606.ENSP00000300403	0	0	0	0	0.480	0.045	0	0.546	0.755
ATAD2	SMC4	9606.ENSP00000287394	9606.ENSP00000341382	0	0	0	0	0.652	0.071	0	0.334	0.766
ATAD2	HELLS	9606.ENSP00000287394	9606.ENSP00000377601	0	0	0	0	0.706	0.140	0	0.346	0.821
ATAD2	TOP2A	9606.ENSP00000287394	9606.ENSP00000411532	0.055	0	0	0	0.554	0.180	0	0.584	0.837
ATAD5	RFC2	9606.ENSP00000313171	9606.ENSP00000055077	0	0	0	0	0.179	0.848	0	0.993	0.999
ATAD5	CDC6	9606.ENSP00000313171	9606.ENSP00000209728	0	0	0	0	0.671	0.069	0	0.239	0.746
ATAD5	TIPIN	9606.ENSP00000313171	9606.ENSP00000261881	0	0	0	0	0.274	0.483	0	0.395	0.753
ATAD5	MCM4	9606.ENSP00000313171	9606.ENSP00000262105	0	0	0	0	0.722	0	0	0.172	0.760
ATAD5	RAD18	9606.ENSP00000313171	9606.ENSP00000264926	0	0	0	0	0.196	0.130	0	0.648	0.732
ATAD5	MCM2	9606.ENSP00000313171	9606.ENSP00000265056	0	0	0	0	0.794	0.092	0	0.183	0.834
ATAD5	SMC2	9606.ENSP00000313171	9606.ENSP00000286398	0	0	0	0	0.855	0.110	0	0.102	0.874
ATAD5	FANCD2	9606.ENSP00000313171	9606.ENSP00000287647	0	0	0	0	0.450	0	0	0.629	0.787
