#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASPM	PLK4	9606.ENSP00000356379	9606.ENSP00000270861	0	0	0	0	0.651	0.099	0	0.452	0.812
ASPM	SPC25	9606.ENSP00000356379	9606.ENSP00000282074	0	0	0	0	0.815	0	0	0.231	0.852
ASPM	SMC2	9606.ENSP00000356379	9606.ENSP00000286398	0	0	0	0	0.813	0.087	0	0.125	0.838
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	MAD2L1	9606.ENSP00000356379	9606.ENSP00000296509	0	0	0	0	0.602	0.088	0	0.524	0.812
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	PCLAF	9606.ENSP00000356379	9606.ENSP00000300035	0	0	0	0	0.756	0	0	0.641	0.909
ASPM	PLK1	9606.ENSP00000356379	9606.ENSP00000300093	0	0	0	0	0.455	0.091	0	0.451	0.704
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	BUB1	9606.ENSP00000356379	9606.ENSP00000302530	0	0	0	0	0.907	0.111	0	0.741	0.976
ASPM	AURKB	9606.ENSP00000356379	9606.ENSP00000313950	0	0	0	0	0.608	0	0	0.732	0.890
ASPM	TYMS	9606.ENSP00000356379	9606.ENSP00000315644	0	0	0	0	0.520	0	0	0.522	0.760
ASPM	SPAG5	9606.ENSP00000356379	9606.ENSP00000323300	0	0	0	0	0.855	0.043	0	0.640	0.945
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.895	0	0	0.743	0.971
ASPM	NCAPD2	9606.ENSP00000356379	9606.ENSP00000325017	0	0	0	0	0.477	0.095	0	0.436	0.710
ASPM	KNTC1	9606.ENSP00000356379	9606.ENSP00000328236	0	0	0	0	0.885	0.088	0	0.395	0.931
ASPM	CDKN3	9606.ENSP00000356379	9606.ENSP00000335357	0	0	0	0	0.784	0	0	0.351	0.854
ASPM	SMC4	9606.ENSP00000356379	9606.ENSP00000341382	0	0	0	0	0.612	0.099	0	0.498	0.809
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0.295	0.848
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	DTL	9606.ENSP00000356379	9606.ENSP00000355958	0	0	0	0	0.818	0	0	0.199	0.848
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0.507	0.916
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	CDC45	9606.ENSP00000356379	9606.ENSP00000405726	0	0	0	0	0.599	0	0	0.290	0.703
ASPM	MCM10	9606.ENSP00000356379	9606.ENSP00000418268	0	0	0	0	0.533	0	0	0.431	0.723
ASPM	KIF18B	9606.ENSP00000356379	9606.ENSP00000465992	0	0	0	0	0.641	0.061	0	0.271	0.733
ASPM	CKS2	9606.ENSP00000356379	9606.ENSP00000364976	0	0	0	0	0.506	0	0	0.506	0.745
ASPM	TK1	9606.ENSP00000356379	9606.ENSP00000468425	0	0	0	0	0.430	0	0	0.601	0.763
ASPM	RACGAP1	9606.ENSP00000356379	9606.ENSP00000404190	0	0	0	0	0.637	0	0	0.460	0.795
ASPM	ZWINT	9606.ENSP00000356379	9606.ENSP00000363055	0	0	0	0	0.527	0	0	0.632	0.818
ASPM	KIFC1	9606.ENSP00000356379	9606.ENSP00000393963	0	0	0	0	0.659	0.292	0	0.410	0.845
ASPM	CDCA3	9606.ENSP00000356379	9606.ENSP00000442068	0	0	0	0	0.773	0	0	0.425	0.864
ASPM	PTTG1	9606.ENSP00000356379	9606.ENSP00000377536	0	0	0	0	0.698	0	0	0.574	0.866
ASPM	CKAP2	9606.ENSP00000356379	9606.ENSP00000367276	0	0	0	0	0.796	0	0	0.383	0.869
ASPM	PRC1	9606.ENSP00000356379	9606.ENSP00000377793	0	0	0	0	0.838	0	0	0.532	0.921
ASPM	ECT2	9606.ENSP00000356379	9606.ENSP00000376457	0	0	0	0	0.826	0.292	0	0.433	0.924
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0.640	0.928
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	KIF2C	9606.ENSP00000356379	9606.ENSP00000361298	0	0	0	0	0.851	0	0	0.589	0.936
ASPM	NUSAP1	9606.ENSP00000356379	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0.611	0.940
ASPM	CDK1	9606.ENSP00000356379	9606.ENSP00000378699	0	0	0	0	0.827	0	0	0.682	0.942
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000481380	0	0	0	0	0.865	0	0	0.603	0.944
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0.700	0.950
ASPM	CDCA8	9606.ENSP00000356379	9606.ENSP00000362146	0	0	0	0	0.908	0	0	0.480	0.950
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0.703	0.951
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASPM	MKI67	9606.ENSP00000356379	9606.ENSP00000357643	0	0	0	0	0.895	0.099	0	0.635	0.962
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.900	0.111	0	0.715	0.972
ASPM	STIL	9606.ENSP00000356379	9606.ENSP00000360944	0	0	0	0	0.477	0.164	0	0.942	0.972
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
ATAD2	CDC6	9606.ENSP00000287394	9606.ENSP00000209728	0	0	0	0	0.332	0.098	0	0.547	0.703
ATAD2	MCM4	9606.ENSP00000287394	9606.ENSP00000262105	0	0	0	0	0.778	0.094	0	0.361	0.860
ATAD2	CENPE	9606.ENSP00000287394	9606.ENSP00000265148	0	0	0	0	0.465	0	0	0.515	0.729
ATAD2	CEP55	9606.ENSP00000287394	9606.ENSP00000360540	0	0	0	0	0.462	0	0	0.493	0.715
ATAD2	NUSAP1	9606.ENSP00000287394	9606.ENSP00000499238	0	0	0	0	0.532	0	0	0.435	0.724
ATAD2	TPX2	9606.ENSP00000287394	9606.ENSP00000300403	0	0	0	0	0.480	0.045	0	0.546	0.755
ATAD2	SMC4	9606.ENSP00000287394	9606.ENSP00000341382	0	0	0	0	0.652	0.071	0	0.334	0.766
ATAD2	HELLS	9606.ENSP00000287394	9606.ENSP00000377601	0	0	0	0	0.706	0.140	0	0.346	0.821
ATAD2	TOP2A	9606.ENSP00000287394	9606.ENSP00000411532	0.055	0	0	0	0.554	0.180	0	0.584	0.837
ATG14	RB1CC1	9606.ENSP00000247178	9606.ENSP00000025008	0	0	0	0	0.174	0.994	0.900	0.913	0.999
ATG14	ATG5	9606.ENSP00000247178	9606.ENSP00000358072	0	0	0	0	0.056	0	0.500	0.923	0.960
ATG14	GABARAP	9606.ENSP00000247178	9606.ENSP00000306866	0	0	0	0	0.060	0.602	0.900	0.843	0.993
ATG5	RB1CC1	9606.ENSP00000358072	9606.ENSP00000025008	0	0	0	0	0.104	0.619	0	0.920	0.970
ATG5	GABARAP	9606.ENSP00000358072	9606.ENSP00000306866	0	0	0	0	0.079	0.360	0.900	0.923	0.994
ATG5	CYCS	9606.ENSP00000358072	9606.ENSP00000307786	0	0	0	0	0.049	0	0	0.819	0.820
ATG5	BNIP3	9606.ENSP00000358072	9606.ENSP00000357625	0	0	0	0	0.060	0	0	0.793	0.797
ATP5F1C	TPI1	9606.ENSP00000349142	9606.ENSP00000229270	0.053	0	0	0	0.658	0	0	0.365	0.776
ATP5F1C	MRPL3	9606.ENSP00000349142	9606.ENSP00000264995	0.044	0	0	0	0.724	0	0.155	0.158	0.787
ATP5F1C	NDUFA9	9606.ENSP00000349142	9606.ENSP00000266544	0.044	0	0	0	0.844	0.206	0	0.507	0.934
ATP5F1C	ATP5MC3	9606.ENSP00000349142	9606.ENSP00000284727	0.106	0	0	0	0.702	0.951	0.764	0.813	0.999
ATP5F1C	HPRT1	9606.ENSP00000349142	9606.ENSP00000298556	0	0	0	0	0.098	0	0.792	0.243	0.845
ATP5F1C	COX5A	9606.ENSP00000349142	9606.ENSP00000317780	0	0	0	0	0.966	0.203	0	0.607	0.988
ATP5F1C	COX7A2	9606.ENSP00000349142	9606.ENSP00000359098	0	0	0	0	0.456	0.161	0	0.438	0.721
ATP5F1C	MRPL9	9606.ENSP00000349142	9606.ENSP00000357823	0.121	0	0	0	0.551	0	0	0.353	0.722
ATP5F1C	CHCHD3	9606.ENSP00000349142	9606.ENSP00000389297	0	0	0	0	0.718	0.072	0	0.216	0.777
ATP5F1C	NDUFA6	9606.ENSP00000349142	9606.ENSP00000482543	0	0	0	0	0.701	0	0	0.357	0.799
ATP5F1C	POLR2B	9606.ENSP00000349142	9606.ENSP00000370625	0	0	0	0	0.741	0	0	0.311	0.814
ATP5F1C	PPA1	9606.ENSP00000349142	9606.ENSP00000362329	0.041	0	0	0	0.397	0	0.650	0.366	0.854
ATP5F1C	CDCA8	9606.ENSP00000349142	9606.ENSP00000362146	0.086	0	0	0	0.605	0.841	0.467	0.349	0.976
ATP5MC3	PPA1	9606.ENSP00000284727	9606.ENSP00000362329	0	0	0	0	0.252	0	0.650	0.329	0.809
ATP5MC3	CDCA8	9606.ENSP00000284727	9606.ENSP00000362146	0.057	0	0	0	0.386	0.585	0.219	0.204	0.823
ATP5MC3	ATP6V0A2	9606.ENSP00000284727	9606.ENSP00000332247	0.061	0	0	0	0.402	0.419	0.522	0.271	0.865
ATP5MC3	COX7A2	9606.ENSP00000284727	9606.ENSP00000359098	0	0	0	0	0.706	0	0	0.567	0.867
ATP5MC3	COX5A	9606.ENSP00000284727	9606.ENSP00000317780	0	0	0	0	0.852	0.131	0	0.567	0.939
ATP6V0A2	PPA1	9606.ENSP00000332247	9606.ENSP00000362329	0	0	0	0	0.070	0	0.650	0.359	0.773
AURKA	TRIP13	9606.ENSP00000216911	9606.ENSP00000166345	0	0	0	0	0.614	0.064	0	0.416	0.771
AURKA	CDC6	9606.ENSP00000216911	9606.ENSP00000209728	0	0	0	0	0.477	0.075	0	0.546	0.761
AURKA	CDC45	9606.ENSP00000216911	9606.ENSP00000405726	0	0	0	0	0.525	0	0	0.396	0.701
AURKA	UBE2S	9606.ENSP00000216911	9606.ENSP00000264552	0	0	0	0	0.229	0.053	0.500	0.284	0.704
AURKA	SMC2	9606.ENSP00000216911	9606.ENSP00000286398	0	0	0	0	0.516	0.224	0	0.273	0.704
AURKA	CDK4	9606.ENSP00000216911	9606.ENSP00000257904	0	0	0.167	0.645	0.357	0.095	0	0.461	0.704
AURKA	KIFC1	9606.ENSP00000216911	9606.ENSP00000393963	0	0	0	0	0.513	0	0	0.445	0.718
AURKA	KIF2A	9606.ENSP00000216911	9606.ENSP00000385000	0	0	0	0	0.228	0.084	0	0.634	0.719
AURKA	KIF15	9606.ENSP00000216911	9606.ENSP00000324020	0	0	0	0	0.536	0	0	0.431	0.725
AURKA	TYMS	9606.ENSP00000216911	9606.ENSP00000315644	0	0	0	0	0.551	0	0	0.421	0.729
AURKA	PCLAF	9606.ENSP00000216911	9606.ENSP00000300035	0	0	0	0	0.445	0	0	0.543	0.735
AURKA	MCM6	9606.ENSP00000216911	9606.ENSP00000264156	0	0	0	0	0.497	0	0	0.510	0.743
AURKA	FEN1	9606.ENSP00000216911	9606.ENSP00000305480	0	0.013	0	0	0.470	0	0	0.544	0.748
AURKA	CHEK1	9606.ENSP00000216911	9606.ENSP00000391090	0	0	0	0.602	0.471	0.075	0	0.537	0.754
AURKA	EZH2	9606.ENSP00000216911	9606.ENSP00000320147	0	0	0	0	0.291	0.102	0	0.655	0.761
AURKA	ESPL1	9606.ENSP00000216911	9606.ENSP00000257934	0	0	0	0	0.454	0	0	0.602	0.773
AURKA	TTK	9606.ENSP00000216911	9606.ENSP00000358813	0	0	0	0.624	0.676	0.094	0	0.307	0.779
AURKA	ZWINT	9606.ENSP00000216911	9606.ENSP00000363055	0	0	0	0	0.431	0	0	0.642	0.787
AURKA	PBK	9606.ENSP00000216911	9606.ENSP00000428489	0	0	0	0	0.617	0.067	0	0.462	0.791
AURKA	FOXM1	9606.ENSP00000216911	9606.ENSP00000342307	0	0	0	0	0.498	0.051	0	0.599	0.793
AURKA	NFKB1	9606.ENSP00000216911	9606.ENSP00000226574	0	0	0	0	0.063	0.549	0	0.552	0.794
AURKA	SPAG5	9606.ENSP00000216911	9606.ENSP00000323300	0	0	0	0	0.581	0.294	0	0.376	0.800
AURKA	CKS2	9606.ENSP00000216911	9606.ENSP00000364976	0	0	0	0	0.476	0	0	0.642	0.804
AURKA	CCNE2	9606.ENSP00000216911	9606.ENSP00000429089	0	0	0	0	0.191	0.616	0	0.446	0.812
AURKA	NCAPH	9606.ENSP00000216911	9606.ENSP00000240423	0	0	0	0	0.556	0.246	0	0.490	0.814
AURKA	CDCA3	9606.ENSP00000216911	9606.ENSP00000442068	0	0	0	0	0.729	0	0	0.348	0.815
AURKA	NEK2	9606.ENSP00000216911	9606.ENSP00000355966	0	0	0.123	0.684	0.641	0	0	0.501	0.829
AURKA	ECT2	9606.ENSP00000216911	9606.ENSP00000376457	0	0	0	0	0.495	0.071	0	0.670	0.831
AURKA	CDC25C	9606.ENSP00000216911	9606.ENSP00000321656	0	0	0	0	0.645	0	0	0.544	0.831
AURKA	MYBL2	9606.ENSP00000216911	9606.ENSP00000217026	0	0	0	0	0.399	0.051	0	0.742	0.840
AURKA	NUSAP1	9606.ENSP00000216911	9606.ENSP00000499238	0	0	0	0	0.705	0	0	0.488	0.843
AURKA	MKI67	9606.ENSP00000216911	9606.ENSP00000357643	0	0	0	0	0.523	0	0	0.700	0.850
AURKA	HJURP	9606.ENSP00000216911	9606.ENSP00000414109	0	0	0	0	0.780	0	0	0.357	0.852
AURKA	CENPE	9606.ENSP00000216911	9606.ENSP00000265148	0	0	0	0	0.643	0.128	0	0.613	0.869
AURKA	CDKN3	9606.ENSP00000216911	9606.ENSP00000335357	0	0	0	0	0.793	0.135	0	0.334	0.870
AURKA	RACGAP1	9606.ENSP00000216911	9606.ENSP00000404190	0	0	0	0	0.633	0	0	0.694	0.883
AURKA	KIF4A	9606.ENSP00000216911	9606.ENSP00000363524	0	0	0	0	0.692	0	0	0.642	0.885
AURKA	RRM2	9606.ENSP00000216911	9606.ENSP00000353770	0	0	0	0	0.574	0	0	0.757	0.892
AURKA	CENPF	9606.ENSP00000216911	9606.ENSP00000355922	0	0	0	0	0.679	0	0	0.708	0.902
AURKA	PRC1	9606.ENSP00000216911	9606.ENSP00000377793	0	0	0	0	0.823	0.075	0	0.498	0.910
AURKA	MELK	9606.ENSP00000216911	9606.ENSP00000298048	0	0	0.093	0.731	0.831	0.045	0	0.479	0.913
AURKA	MYC	9606.ENSP00000216911	9606.ENSP00000478887	0	0	0	0	0.099	0.175	0	0.893	0.914
AURKA	AURKB	9606.ENSP00000216911	9606.ENSP00000313950	0	0	0.061	0.958	0.573	0.421	0.540	0.387	0.922
AURKA	KIF23	9606.ENSP00000216911	9606.ENSP00000260363	0	0	0	0	0.694	0.091	0	0.749	0.924
AURKA	BUB1B	9606.ENSP00000216911	9606.ENSP00000287598	0	0	0	0	0.723	0.089	0	0.722	0.924
AURKA	MAD2L1	9606.ENSP00000216911	9606.ENSP00000296509	0	0	0	0	0.647	0.100	0	0.796	0.929
AURKA	NDC80	9606.ENSP00000216911	9606.ENSP00000261597	0	0	0	0	0.720	0.474	0	0.584	0.933
AURKA	KIF20A	9606.ENSP00000216911	9606.ENSP00000378356	0	0	0	0	0.833	0.084	0	0.616	0.936
AURKA	CEP55	9606.ENSP00000216911	9606.ENSP00000360540	0	0	0	0	0.802	0.161	0	0.650	0.936
AURKA	CCNA2	9606.ENSP00000216911	9606.ENSP00000481380	0	0	0	0	0.853	0	0	0.669	0.949
AURKA	CDK1	9606.ENSP00000216911	9606.ENSP00000378699	0	0	0.125	0.747	0.777	0.525	0	0.537	0.951
AURKA	CDCA8	9606.ENSP00000216911	9606.ENSP00000362146	0	0	0	0	0.728	0.086	0.540	0.633	0.952
AURKA	NCAPG	9606.ENSP00000216911	9606.ENSP00000251496	0	0	0	0	0.816	0.103	0	0.735	0.952
